name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,mip_gap,x_bits,z_bits,sum_z,seed,layers,data_root
precond_pen=0.200,32,-16.93540492353999,210.71523308584509,0.2,2,0.9313371181488037,0.0,11001000011010111100001011101001,++--+----++-+-++++----+-+++-+--+,0,38,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-17.384573750635994,210.71523308584509,0.3,2,0.6535830497741699,0.0,00110111100101000011110100010110,--++-++++--+-+----++++-+---+-++-,0,38,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.182440250276004,210.71523308584509,0.4,2,1.2085058689117432,0.0,11001000011010111100001011101001,++--+----++-+-++++----+-+++-+--+,0,38,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,221.81039236406787,221.81039236406806,,2,46377.90670108795,0.0,01001001100101111101001101100100,-+--+--++--+-+++++-+--++-++--+--,0,39,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-16.369802039610992,221.81039236406806,0.2,2,2.8274240493774414,0.0,01001001100101111101001101100100,-+--+--++--+-+++++-+--++-++--+--,0,39,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-18.018909770645003,221.81039236406806,0.3,2,0.9311859607696533,0.0,10110110011010000010110010011011,+-++-++--++-+-----+-++--+--++-++,0,39,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.969517493991995,221.81039236406806,0.4,2,1.4431238174438477,0.0,10110110011010000010110010011011,+-++-++--++-+-----+-++--+--++-++,0,39,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,217.7916841645943,217.7916841645937,,2,147.48048996925354,0.0,01010100000110110110111100110010,-+-+-+-----++-++-++-++++--++--+-,0,40,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-16.50722044978499,217.7916841645937,0.2,2,1.9869508743286133,0.0,10101011111001001001000011001101,+-+-+-+++++--+--+--+----++--++-+,0,40,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-17.600692206408,217.7916841645937,0.3,2,0.9867088794708252,0.0,01010100000110110110111100110010,-+-+-+-----++-++-++-++++--++--+-,0,40,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.264670905602012,217.7916841645937,0.4,2,1.5121259689331055,0.0,10101011111001001001000011001101,+-+-+-+++++--+--+--+----++--++-+,0,40,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,231.51158929266418,231.51158929266424,,2,266.4964258670807,0.0,11010010110010111101001100101000,++-+--+-++--+-++++-+--++--+-+---,0,41,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-14.710158038625018,232.43718736304598,0.2,2,3.20120906829834,0.0,10110101001110010100000101010111,+-++-+-+--+++--+-+-----+-+-+-+++,0,41,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-17.206640006165017,232.43718736304598,0.3,2,1.0194330215454102,0.0,01001010110001101011111010101000,-+--+-+-++---++-+-+++++-+-+-+---,0,41,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.890584340339013,231.51158929266424,0.4,2,1.185093879699707,0.0,00101101001101000010110011010111,--+-++-+--++-+----+-++--++-+-+++,0,41,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,220.15810477965894,220.1581047796591,,2,150.14320707321167,0.0,11101101101010000011010011010010,+++-++-++-+-+-----++-+--++-+--+-,0,42,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-15.326049561487995,220.1581047796591,0.2,2,2.1868209838867188,0.0,00010010010101111100101100101101,---+--+--+-+-+++++--+-++--+-++-+,0,42,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-16.610300203153002,220.1581047796591,0.3,2,0.8203890323638916,0.0,00010010010101111100101100101101,---+--+--+-+-+++++--+-++--+-++-+,0,42,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-8.906417774643996,220.1581047796591,0.4,2,1.4695401191711426,0.0,11101101101010000011010011010010,+++-++-++-+-+-----++-+--++-+--+-,0,42,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,213.7811494597423,213.78114945974184,,2,101.37610483169556,0.0,10000101100110110000111111001010,+----+-++--++-++----++++++--+-+-,0,43,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-19.015999391400992,213.78114945974184,0.2,2,0.7852687835693359,0.0,01111010011001001111000000110101,-++++-+--++--+--++++------++-+-+,0,43,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-20.342035746999002,213.78114945974184,0.3,2,0.45079493522644043,5.038722147862279e-05,10000101100110110000111111001010,+----+-++--++-++----++++++--+-+-,0,43,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-10.590995175133012,213.78114945974184,0.4,2,0.5429139137268066,0.0,01111010011001001111000000110101,-++++-+--++--+--++++------++-+-+,0,43,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,212.34129092691973,212.3412909269201,,2,110.82802891731262,0.0,10101110010101110000101001100110,+-+-+++--+-+-+++----+-+--++--++-,0,44,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-19.722232612211982,212.3412909269201,0.2,2,1.0848519802093506,0.0,01010001101010001111010110011001,-+-+---++-+-+---++++-+-++--++--+,0,44,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-20.84457644654901,212.3412909269201,0.3,2,0.5359570980072021,0.0,01010001101010001111010110011001,-+-+---++-+-+---++++-+-++--++--+,0,44,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-10.785949691458,212.3412909269201,0.4,2,0.8612289428710938,0.0,10101110010101110000101001100110,+-+-+++--+-+-+++----+-+--++--++-,0,44,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,229.39780164089404,229.39780164089402,,2,154.23176407814026,0.0,01011011000111100100100011101010,-+-++-++---++++--+--+---+++-+-+-,0,45,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-14.516748645391033,229.39780164089402,0.2,2,3.076714038848877,0.0,01011011000111100100100011101010,-+-++-++---++++--+--+---+++-+-+-,0,45,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-16.694086045369996,229.39780164089402,0.3,2,0.707097053527832,0.0,01011011000111100100100011101010,-+-++-++---++++--+--+---+++-+-+-,0,45,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-9.299550691362015,229.39780164089402,0.4,2,0.9997541904449463,0.0,10100100111000011011011100010101,+-+--+--+++----++-++-+++---+-+-+,0,45,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,211.2476598843719,211.24765988437215,,2,177.10438895225525,0.0,00000000011011101110101110110110,---------++-+++-+++-+-+++-++-++-,0,46,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
