name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,all_feasible,orig_traj,gurobi_log,seed,layers,data_root
precond_pen=0.300,24,-14.413933198117999,125.62957739668624,0.3,2,0.1366410255432129,0.057847023010253906,0.0,101010110000111110011000,+-+-+-++----+++++--++---,0,True,"[[5.793571472167969e-05, 146.35173839713605], [0.01034998893737793, 135.24401427243407], [0.014799833297729492, 135.10902198160994], [0.015849828720092773, 128.65870775941798], [0.057847023010253906, 125.62957739668624]]","[[5.793571472167969e-05, 146.35173839713605], [0.01034998893737793, 135.24401427243407], [0.014799833297729492, 135.10902198160994], [0.015849828720092773, 128.65870775941798], [0.057847023010253906, 125.62957739668624]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:48 2026

",3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,24,-8.025740489395995,125.62957739668624,0.4,2,0.18883991241455078,0.015861034393310547,0.0,101010110000111110011000,+-+-+-++----+++++--++---,0,True,"[[6.699562072753906e-05, 146.35173839713605], [0.014127969741821289, 143.21768135649177], [0.015861034393310547, 125.62957739668624]]","[[6.699562072753906e-05, 146.35173839713605], [0.014127969741821289, 143.21768135649177], [0.015861034393310547, 125.62957739668624]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:48 2026

",3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,24,-4.4528330306249995,125.62957739668624,0.5,2,0.36142802238464355,0.021126985549926758,0.0,101010110000111110011000,+-+-+-++----+++++--++---,0,True,"[[8.106231689453125e-05, 146.35173839713605], [0.017097949981689453, 139.89322568991804], [0.01895594596862793, 137.04430705815207], [0.019913911819458008, 134.0004695591279], [0.021126985549926758, 125.62957739668624]]","[[8.106231689453125e-05, 146.35173839713605], [0.017097949981689453, 139.89322568991804], [0.01895594596862793, 137.04430705815207], [0.019913911819458008, 134.0004695591279], [0.021126985549926758, 125.62957739668624]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:48 2026

",3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,24,-3.089217218742002,125.62957739668624,0.6,2,0.984544038772583,0.03519797325134277,0.0,010101001111000001100111,-+-+-+--++++-----++--+++,0,True,"[[8.702278137207031e-05, 146.35173839713605], [0.028313875198364258, 143.04351850381016], [0.031248092651367188, 141.99555183778205], [0.03519797325134277, 125.62957739668624]]","[[8.702278137207031e-05, 146.35173839713605], [0.028313875198364258, 143.04351850381016], [0.031248092651367188, 141.99555183778205], [0.03519797325134277, 125.62957739668624]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:49 2026

",3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,24,-2.022711257168986,125.62957739668624,0.8,2,1.4795598983764648,0.03001689910888672,0.0,101010110000111110011000,+-+-+-++----+++++--++---,0,True,"[[0.0001659393310546875, 146.35173839713605], [0.028055906295776367, 145.41145790761203], [0.03001689910888672, 125.62957739668624]]","[[0.0001659393310546875, 146.35173839713605], [0.028055906295776367, 145.41145790761203], [0.03001689910888672, 125.62957739668624]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:50 2026

",3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,24,137.4981912922499,137.4981912922501,,2,6.35876202583313,1.5736830234527588,0.0,001011001010110010101011,--+-++--+-+-++--+-+-+-++,0,True,"[[5.793571472167969e-05, 163.78368208994414], [0.017580032348632812, 163.51955530839604], [0.01872992515563965, 141.190748674146], [1.487833023071289, 139.4716595552901], [1.5736830234527588, 137.4981912922501]]","[[5.793571472167969e-05, 163.78368208994414], [0.017580032348632812, 163.51955530839604], [0.01872992515563965, 141.190748674146], [1.487833023071289, 139.4716595552901], [1.5736830234527588, 137.4981912922501]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:51 2026

",4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,24,0.5878649640890359,137.4981912922501,0.0,2,1.5955300331115723,0.021730899810791016,0.0,001011001010110010101011,--+-++--+-+-++--+-+-+-++,0,True,"[[0.00017404556274414062, 163.78368208994414], [0.014458894729614258, 160.20613068105797], [0.01593804359436035, 159.99175187496593], [0.021730899810791016, 137.4981912922501]]","[[0.00017404556274414062, 163.78368208994414], [0.014458894729614258, 160.20613068105797], [0.01593804359436035, 159.99175187496593], [0.021730899810791016, 137.4981912922501]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:32:58 2026

",4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,24,-8.633944095619018,137.4981912922501,0.2,2,1.011181116104126,0.018347978591918945,0.0,001011001010110010101011,--+-++--+-+-++--+-+-+-++,0,True,"[[8.20159912109375e-05, 163.78368208994414], [0.015074968338012695, 153.43770553274788], [0.018347978591918945, 137.4981912922501]]","[[8.20159912109375e-05, 163.78368208994414], [0.015074968338012695, 153.43770553274788], [0.018347978591918945, 137.4981912922501]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:33:00 2026

",4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,24,-11.956714048579997,137.4981912922501,0.3,2,0.22226810455322266,0.027482032775878906,0.0,001011001010110010101011,--+-++--+-+-++--+-+-+-++,0,True,"[[7.891654968261719e-05, 163.78368208994414], [0.022242069244384766, 150.4318184043321], [0.027482032775878906, 137.4981912922501]]","[[7.891654968261719e-05, 163.78368208994414], [0.022242069244384766, 150.4318184043321], [0.027482032775878906, 137.4981912922501]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:33:01 2026

",4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,24,-8.096365482010007,137.4981912922501,0.4,2,0.2274188995361328,0.022169828414916992,0.0,001011001010110010101011,--+-++--+-+-++--+-+-+-++,0,True,"[[8.296966552734375e-05, 163.78368208994414], [0.01741194725036621, 153.29830503990996], [0.020598888397216797, 148.965763037354], [0.022169828414916992, 137.4981912922501]]","[[8.296966552734375e-05, 163.78368208994414], [0.01741194725036621, 153.29830503990996], [0.020598888397216797, 148.965763037354], [0.022169828414916992, 137.4981912922501]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:33:01 2026

",4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
